Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type,Product_ID,Discount_Percent,Playtime_Hours,Driver_Size_mm,Bluetooth_Version,Latency_ms,Gaming,ANC,ENC
"PTron Bassbuds Duo Bluetooth Headset  (Blue, True Wireless)",2599.0,1299.0,PTron,Bassbuds Duo,Blue,In Ear,Bluetooth,PTron_Bassbuds Duo,50.02,,,,,False,False,False
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Black,In Ear,Bluetooth,Boult_ProBass EQCharge,82.24,32.0,,,,False,False,True
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)",2499.0,899.0,Noise,Nerve,Stone Blue,In Ear,Bluetooth,Noise_Nerve,64.03,25.0,10.0,,,False,False,False
"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)",1399.0,939.0,ZEBRONICS,Zeb-Thunder(Blue),Blue,On Ear,Bluetooth,ZEBRONICS_Zeb-Thunder(Blue),32.88,,,,,False,False,False
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Forest Green, In the Ear)",2499.0,899.0,Noise,NNB-31,Forest Green,In Ear,Bluetooth,Noise_NNB-31,64.03,25.0,10.0,,,False,False,False
"boAt Bassheads 103 Black Wired Headset  (Black, In the Ear)",1290.0,499.0,boAt,Bassheads 103 Black,Black,In Ear,Wired,boAt_Bassheads 103 Black,61.32,,,,,False,False,False
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset  (Teal Green, In the Ear)",3990.0,1299.0,boAt,Rockerz 255 Pro+ with ASAP Charge and upto 4 Hours Playback,Teal Green,In Ear,Bluetooth,boAt_Rockerz 255 Pro+ with ASAP Charge and upto 4 Hours Playback,67.44,40.0,,,,False,False,False
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Orange, True Wireless)",7499.0,2499.0,Skullcandy,S2DMW-P754,Orange,In Ear,Bluetooth,Skullcandy_S2DMW-P754,66.68,,,,,False,False,False
"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Blue, In the Ear)",3199.0,899.0,PTron,Basspods Flare,Blue,In Ear,Bluetooth,PTron_Basspods Flare,71.9,35.0,,,40.0,True,False,False
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Cosmos Black, In the Ear)",2990.0,1299.0,boAt,Rockerz 255 Arc,Cosmos Black,In Ear,Bluetooth,boAt_Rockerz 255 Arc,56.56,30.0,,,,False,False,True
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Fern Green, In the Ear)",2990.0,1299.0,boAt,Rockerz 255 Arc,Fern Green,In Ear,Bluetooth,boAt_Rockerz 255 Arc,56.56,30.0,,,,False,False,True
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (White, In the Ear)",4999.0,1499.0,Boult,Airbass Z40,White,In Ear,Bluetooth,Boult_Airbass Z40,70.01,60.0,,,,False,False,True
"Skullcandy Indy Evo Bluetooth Headset  (Black, True Wireless)",12999.0,6499.0,Skullcandy,Indy Evo,Black,In Ear,Bluetooth,Skullcandy_Indy Evo,50.0,,,,,False,False,False
"ZEBRONICS ZEB-THUNDER Bluetooth Headset  (Red, On the Ear)",1399.0,949.0,ZEBRONICS,ZEB-THUNDER,Red,On Ear,Bluetooth,ZEBRONICS_ZEB-THUNDER,32.17,,,,,False,False,False
"Noise Buds VS304 with 30 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Jet Black, True Wireless)",2999.0,1099.0,Noise,Buds VS304,Jet Black,In Ear,Bluetooth,Noise_Buds VS304,63.35,30.0,13.0,,,False,False,False
"ZEBRONICS Wired Headset Wired Headset  (Black, In the Ear)",399.0,255.0,ZEBRONICS,Wired Headset,Black,In Ear,Wired,ZEBRONICS_Wired Headset,36.09,,,,,False,False,False
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)",4990.0,1999.0,boAt,Rockerz 333ANC,Moon Grey,In Ear,Bluetooth,boAt_Rockerz 333ANC,59.94,,13.0,,,False,True,False
"ZEBRONICS ZEB-BRO Headset with Mic Wired Headset  (White, In the Ear)",399.0,299.0,ZEBRONICS,ZEB-BRO Headset with Mic,White,In Ear,Wired,ZEBRONICS_ZEB-BRO Headset with Mic,25.06,,,,,False,False,False
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Black, In the Ear)",2499.0,1399.0,Skullcandy,S2JPW-M003,Black,In Ear,Bluetooth,Skullcandy_S2JPW-M003,44.02,,,,,False,False,False
"ZEBRONICS Zeb Yoga 4 Bluetooth Headset  (Black, Yellow, True Wireless)",1399.0,999.0,ZEBRONICS,Zeb Yoga 4,"Black, Yellow",In Ear,Bluetooth,ZEBRONICS_Zeb Yoga 4,28.59,,,,,False,False,False
